Sample Rate,8265
Sample Number,Amplitude
1693,120
1694,120
1695,139
1696,121
1697,120
1698,130
1699,125
1700,135
1701,148
1702,155
1703,149
1704,129
1705,118
1706,107
1707,104
1708,120
1709,138
1710,145
1711,145
1712,151
1713,136
1714,124
1715,120
1716,112
1717,109
1718,130
1719,118
1720,108
1721,115
1722,114
1723,124
1724,114
1725,120
1726,122
1727,112
1728,107
1729,108
1730,111
1731,108
1732,92
1733,100
1734,118
1735,125
1736,139
1737,123
1738,120
1739,111
1740,111
1741,101
1742,105
1743,133
1744,136
1745,129
1746,132
1747,119
1748,94
1749,101
1750,102
1751,102
1752,90
1753,103
1754,114
1755,109
1756,130
1757,115
1758,99
1759,104
1760,115
1761,112
1762,99
1763,101
1764,99
1765,92
1766,85
1767,93
1768,115
1769,130
1770,126
1771,114
1772,96
1773,92
1774,87
1775,92
1776,113
1777,132
1778,128
1779,118
1780,123
1781,120
1782,102
1783,87
1784,77
1785,80
1786,84
1787,96
1788,99
1789,101
1790,113
1791,97
1792,88
1793,103
1794,121
1795,123
1796,108
1797,99
1798,92
1799,87
1800,90
1801,102
1802,114
1803,126
1804,122
1805,123
1806,112
1807,99
1808,94
1809,100
1810,123
1811,142
1812,155
1813,141
1814,140
1815,139
1816,119
1817,104
1818,88
1819,85
1820,103
1821,100
1822,98
1823,113
1824,121
1825,110
1826,106
1827,128
1828,119
1829,121
1830,120
1831,118
1832,108
1833,108
1834,117
1835,115
1836,133
1837,142
1838,148
1839,134
1840,120
1841,123
1842,115
1843,116
1844,129
1845,139
1846,145
1847,153
1848,151
1849,146
1850,144
1851,140
1852,119
1853,105
1854,128
1855,111
1856,110
1857,117
1858,108
1859,111
1860,119
1861,118
1862,128
1863,147
1864,140
1865,122
1866,125
1867,128
1868,119
1869,133
1870,154
1871,154
1872,145
1873,139
1874,126
1875,124
1876,136
1877,124
1878,120
1879,144
1880,161
1881,161
1882,171
1883,164
1884,151
1885,152
1886,137
1887,125
1888,112
1889,125
1890,132
1891,131
1892,137
1893,115
1894,115
1895,138
1896,151
1897,161
1898,162
1899,145
1900,138
1901,137
1902,129
1903,130
1904,137
1905,150
1906,161
1907,165
1908,155
1909,148
1910,137
1911,135
1912,118
1913,113
1914,143
1915,150
1916,143
1917,137
1918,143
1919,146
1920,138
1921,137
1922,128
1923,116
1924,119
